name,age,species,location,country,notes
"Prometheus
(WPN-114)",4900,"Great Basin bristlecone pine
Pinus longaeva","Wheeler Peak, Nevada",United States,Cut down by Donald Rusk Currey in 1964.[6]
Methuselah,4851,"Great Basin bristlecone pine
Pinus longaeva",White Mountains (California),United States,It is the oldest-known living tree in the world.[8]
Gran Abuelo,3648,"Patagonian cypress
Fitzroya cupressoides","Cordillera Pelada, Los Ríos",Chile,Alive.[8][9] Located within Alerce Costero National Park.[10]
CBR26,3266,"Giant sequoia
Sequoiadendron giganteum","Sierra Nevada, California",United States,Dead.[8]
D-21,3220,"Giant sequoia
Sequoiadendron giganteum","Sierra Nevada, California",United States,Dead.[8]
D-23,3075,"Giant sequoia
Sequoiadendron giganteum","Sierra Nevada, California",United States,Dead.[8]
CMC 3,3033,"Giant sequoia
Sequoiadendron giganteum","Sierra Nevada, California",United States,Dead.[8]
Scofield Juniper,2675,"Western juniper
Juniperus occidentalis","Sierra Nevada, California",United States,Dead.[8]
BLK227,2625,"Bald cypress
Taxodium distichum","Three Sisters Cove, Black River (North Carolina)",United States,[11]
CB-90-11,2462,"Rocky Mountain bristlecone pine
Pinus aristata",central Colorado,United States,[8][12]
Panke Baobab,2419,"African baobab
Adansonia digitata",Matabeleland North,Zimbabwe,Dead in 2011; the oldest non-clonal angiosperm ever documented.[13]
Jaya Sri Maha Bodhi,2305,"Sacred fig
Ficus religiosa","Anuradhapura, North Central Province",Sri Lanka,A sapling from the historical Bodhi tree under which the Buddha became enlightened. It was planted in 288 BC and is the oldest living human-planted tree in the world with a known planting date.[8]
?,2200,"Coast redwood
Sequoia sempervirens",northern California,United States,Dead.[8]
Bennett Juniper,2200,"Western juniper
Juniperus occidentalis","Sierra Nevada, California",United States,[8]
SHP 7,2110,"Foxtail pine
Pinus balfouriana",Sierra Nevada California,United States,[8]
BLK232,2089,"Bald cypress
Taxodium distichum","Three Sisters Cove, Black River (North Carolina)",United States,[11]
?,1946,"Subalpine larch
Larix lyallii","Kananaskis, Alberta",Canada,[8][14]
CRE 175,1889,"Rocky Mountain juniper
Juniperus scopulorum",northern New Mexico,United States,[8]
Miles Juniper,1831,"Western juniper
Juniperus occidentalis","Sierra Nevada, California",United States,[8][15]
Jōmon Sugi,1808,"Sugi
Cryptomeria japonica",Yakushima Island,Japan,[16]
KET 3996,1722,"Limber pine
Pinus flexilis","Ketchum, Idaho",United States,[8][17]
BFR-46,1697,"Limber pine
Pinus flexilis","Wasatch Mountains, Utah",United States,[8]
FL117,1681,"Northern whitecedar
Thuja occidentalis",Ontario,Canada,[8][18]
ERE,1670,"Limber pine
Pinus flexilis",northern New Mexico,United States,[8]
RCR 1,1666,"Foxtail pine
Pinus balfouriana","Sierra Nevada, California",United States,[8]
?,1661,"Limber pine
Pinus flexilis","South Park (Park County, Colorado)",United States,[8]
BBL 2,1649,"Foxtail pine
Pinus balfouriana","Sierra Nevada, California",United States,[8]
BCK 69,1653,"Bald cypress
Taxodium distichum","Bladen County, North Carolina",United States,[8][19]
?,1636,"Nootka cypress
Callitropsis nootkatensis",Vancouver Island,Canada,[8]
FL101,1567,"Northern whitecedar
Thuja occidentalis",Ontario,Canada,[8]
?,1542,"Limber pine
Pinus flexilis",central Colorado,United States,[8]