Date,Likes,Comments,Art,Picture of me
11/10/2015,22,1,,TRUE
2/5/2016,58,6,,
2/19/2016,27,1,,
7/22/2016,16,0,,
7/22/2016,21,2,,
7/23/2016,14,0,,
7/27/2016,18,0,,
8/6/2016,22,1,,
8/9/2016,34,0,,
2/4/2017,18,2,,
2/17/2017,19,0,,
2/17/2017,14,0,,
2/20/2017,27,3,,TRUE
3/3/2017,24,0,,TRUE
3/17/2017,23,0,,
4/18/2017,29,1,,
5/8/2017,25,1,,TRUE
5/30/2017,14,0,,
6/18/2017,14,0,,
6/18/2017,17,0,,
7/16/2017,19,1,,
7/17/2017,25,0,,
7/22/2017,23,0,,
7/22/2017,12,0,,
7/28/2017,18,0,,
7/30/2017,15,1,,
8/1/2017,14,1,,
8/2/2017,12,0,,
8/3/2017,11,0,,
8/7/2017,14,0,,
8/11/2017,26,0,,
8/13/2017,13,0,,
8/27/2017,28,1,,
8/29/2017,35,4,,
8/29/2017,22,0,,
8/30/2017,30,1,,
8/30/2017,31,0,,
9/7/2017,29,0,,
9/9/2017,30,1,,
9/12/2017,25,0,,
9/15/2017,32,0,,
9/17/2017,24,0,,
9/17/2017,36,1,,
9/20/2017,39,0,,
9/21/2017,26,2,,
9/24/2017,25,1,,
10/3/2017,43,5,,
10/4/2017,29,0,,
10/9/2017,31,1,,
11/3/2017,19,2,,
11/5/2017,30,0,,
12/5/2017,38,0,,
12/25/2017,35,1,,
1/6/2018,33,0,,
1/6/2018,35,0,,
1/12/2018,36,0,,
1/15/2018,32,2,,
1/17/2018,33,0,,
1/19/2018,37,2,,
2/9/2018,33,1,,
2/10/2018,30,0,,
2/10/2018,39,2,,
2/11/2018,33,1,,
3/5/2018,27,0,,
3/9/2018,26,2,,
3/29/2018,26,0,,
4/16/2018,27,0,,
4/17/2018,22,1,,
4/22/2018,23,0,,
4/24/2018,23,0,,
5/30/2018,24,0,,
8/25/2018,26,0,,TRUE
8/25/2018,26,2,,
8/26/2018,16,0,,
9/4/2018,20,0,,
12/17/2018,52,4,,
12/17/2018,36,6,,TRUE
12/18/2018,40,0,TRUE,
12/20/2018,22,2,TRUE,
12/21/2018,40,0,,
12/26/2018,45,2,TRUE,
1/5/2019,33,3,,
2/4/2019,37,0,TRUE,
2/5/2019,23,3,TRUE,
2/27/2019,40,5,,
3/24/2019,78,6,TRUE,
4/8/2019,64,1,TRUE,
5/26/2019,146,9,TRUE,
6/6/2019,34,1,TRUE,
7/10/2019,56,0,TRUE,
7/23/2019,26,0,TRUE,
7/24/2019,43,0,TRUE,
7/30/2019,31,5,TRUE,
12/23/2019,13,3,,
12/23/2019,18,2,,
12/24/2019,20,0,,TRUE
1/2/2020,16,0,,
1/2/2020,21,1,,
1/2/2020,18,0,,
1/5/2020,25,1,,TRUE
1/6/2020,17,0,,
1/22/2020,21,1,,
1/25/2020,33,2,,
1/26/2020,29,1,,
1/27/2020,24,1,,
1/28/2020,23,1,,
1/29/2020,23,1,,
1/31/2020,26,2,,
2/4/2020,32,2,,
2/5/2020,23,1,,
2/9/2020,21,1,,