number,category1,category2,tagged,hashtags,filter,comments,likes,date
1,Animal,,0,0,No,0,6,15/8-2012
2,Food,,0,0,No,3,4,28/2-2013
3,Animal,,0,0,Yes,0,5,22/3-2013
4,Stuff,Family,0,0,Yes,0,3,28/2-2013
5,Friend,,0,0,Yes,1,6,3/5-2013
6,Friend,,3,1,Yes,0,9,14/6-2013
7,Drawing,,0,1,Yes,0,6,23/6-2013
8,Nature,,0,1,Yes,0,4,23/6-2013
9,Food,,0,1,No,0,4,27/6-2013
10,Animal,Family,0,1,No,0,4,1/7-2013
11,Animal,,0,1,Yes,2,6,2/7-2013
12,Landscape,Nature,0,1,No,0,2,7/7-2013
13,Stuff,,0,1,No,0,2,23/7-2013
14,Food,,0,2,Yes,0,6,24/7-2013
15,Stuff,Friend,1,0,No,0,2,29/7-2013
16,Family,,0,1,No,1,4,31/7-2013
17,Stuff,Friend,1,0,No,0,2,3/8-2013
18,Stuff,,0,1,No,0,7,5/8-2013
19,Food,,2,1,No,0,5,6/9-2013
20,Family,,0,0,No,0,3,18/9-2013
21,Nature,,0,1,No,0,3,22/10-2013
22,Friend,,1,0,Yes,0,5,5/1-2014
23,Friend,,2,0,Yes,2,7,5/3-2014
24,Friend,,2,0,Yes,2,5,5/3-2014
25,Nature,,0,4,Yes,0,7,12/3-2014
26,Friend,Selfie,1,3,Yes,0,4,25/3-2014
27,Friend,,3,0,Yes,0,8,16/4-2014
28,Landscape,,0,2,No,0,1,26/4-2014
29,Friend,,1,1,Yes,0,2,26/4-2014
30,Friend,Food,1,1,Yes,0,5,28/4-2014
31,Stuff,,0,0,Yes,0,2,7/6-2014
32,Landscape,,0,2,Yes,0,6,19/10-2014
33,Friend,,2,3,No,0,8,25/4-2015
34,Friend,,1,1,No,1,10,2/6-2015
35,Food,Friend,2,3,Yes,0,8,1/7-2015
36,Family,,0,3,No,0,8,6/7-2015
37,Friend,Food,1,3,No,0,6,6/8-2015
38,Landscape,,0,2,No,0,5,6/8-2015
39,Friend,,1,5,No,1,10,8/8-2015
40,Friend,,3,2,No,0,10,9/9-2015
41,Friend,,5,0,No,0,10,9/9-2015
42,Friend,,1,1,No,0,13,9/9-2015
43,Friend,,1,2,No,0,6,8/12-2015
44,Drawing,,0,3,No,0,11,27/12-2015
45,Food,,0,3,Yes,0,11,5/1-2016
46,Friend,,2,2,Yes,0,11,15/1-2016
47,Drawing,,0,6,Yes,0,22,31/1-2016
48,Drawing,,0,4,Yes,0,10,1/2-2016
49,Stuff,Food,0,1,No,0,7,13/2-2016
50,Drawing,,0,5,No,0,13,21/2-2016
51,Selfie,,0,3,Yes,0,4,12/3-2016
52,Stuff,,0,2,Yes,0,7,19/3-2016
53,Drawing,,0,5,No,0,8,20/3-2016
54,Friend,,5,0,No,1,10,24/4-2016
55,Friend,,0,2,No,0,4,25/4-2016
56,Family,,0,3,No,0,6,12/5-2016
57,Friend,,2,1,Yes,1,4,20/5-2016
58,Friend,,2,0,Yes,0,5,20/5-2016
59,Friend,,2,0,Yes,0,4,20/5-2016
60,Food,Friend,2,2,No,1,7,20/5-2016
61,Nature,Landscape,0,2,No,1,7,20/5-2016
62,Animal,Friend,3,1,Yes,1,8,20/5-2016
63,Drawing,,0,4,Yes,2,25,21/5-2016
64,Friend,,7,2,No,4,11,28/5-2016
65,Drawing,,0,3,No,0,16,6/6-2016
66,Nature,,0,3,No,1,15,14/6-2016
67,Drawing,,0,3,Yes,0,18,30/6-2016
68,Drawing,,0,4,No,3,18,2/8-2016
69,Food,Friend,3,2,Yes,0,9,4/8-2016
70,Friend,,1,2,No,0,19,6/10-2016
71,Friend,,2,3,No,4,20,26/11-2016
72,Drawing,,0,3,No,0,23,2/12-2016
73,Landscape,Fam,1,4,No,2,32,4/12-2016
74,Food,Friend,1,1,No,7,22,14/1-2017
75,Friend,,3,3,Yes,0,31,24/3-2017
76,Drawing,,0,6,Yes,0,20,30/3-2017
77,Drawing,,0,7,No,0,20,2/4-2017
78,Friend,Nature,1,0,Yes,2,16,3/4-2017
79,Animal,Nature,0,4,Yes,0,13,28/4-2017
80,Landscape,,0,1,No,0,14,28/4-2017
81,Friend,,2,0,No,0,20,1/5-2017
82,Food,,0,2,Yes,0,25,23/6-2017
83,Drawing,,0,3,No,3,29,31/7-2017
84,Nature,,0,3,Yes,0,16,10/10-2017
85,Drawing,,0,5,Yes,7,26,18/10-2017
86,Drawing,,1,4,Yes,2,33,18/10-2017
87,Stuff,,0,2,Yes,0,18,30/11-2017
88,Friend,Selfie,3,0,No,9,22,15/4-2018
89,Landscape,Friend,4,0,No,0,25,7/7-2018
90,Drawing,,0,2,No,6,38,19/7-2018
91,Drawing,,0,2,Yes,2,19,5/10-2018
92,Drawing,,0,4,No,3,27,9/1-2019
93,Selfie,,0,0,Yes,8,27,24/6-2019
94,Drawing,,0,1,Yes,1,23,1/10-2019
95,Drawing,,0,2,No,0,17,2/10-2019
96,Drawing,,0,1,No,0,17,3/10-2019
97,Drawing,,0,1,No,0,13,5/10-2019
98,Drawing,,0,1,No,0,16,5/10-2019